# Append-only stable syntax kind IDs. Do not reuse an ID after removal.
special:ERROR	0
token:EOF	1
token:manifest	2
token:{	3
token:,	4
token:}	5
token:language	6
token::	7
token:string-literal	8
token:entry	9
token:identifier	10
token:capabilities	11
token:[	12
token:]	13
token:http_origins	14
token:tools	15
token:required	16
token:effect-id	17
token:(	18
token:)	19
token:name	20
token:version	21
token:import	22
token:from	23
token:;	24
token:as	25
token:export	26
token:record	27
token:enum	28
token:async	29
token:fn	30
token:<	32
token:>	33
token:Eq	34
token:effects	35
token:let	36
token:mut	37
token:=	38
token:+=	39
token:-=	40
token:*=	41
token:/=	42
token:%=	43
token:return	44
token:break	45
token:continue	46
token:while	47
token:loop	48
token:for	49
token:in	50
token:..	51
token:_	52
token:List	53
token:Option	54
token:Future	55
token:Task	56
token:Prompt	57
token:Map	58
token:Result	59
token:||	60
token:&&	61
token:==	62
token:!=	63
token:<=	64
token:>=	65
token:+	66
token:-	67
token:*	68
token:/	69
token:%	70
token:!	71
token:await	72
token:spawn	73
token:.	74
token:?	75
token:int-literal	76
token:float-literal	77
token:bytes-literal	78
token:true	79
token:false	80
token:None	81
token:`	82
token:template-text-scalar	83
token:template-escape	84
token:${	85
token:map	86
token:match	87
token:if	88
token:else	89
token:=>	90
token:Some	91
token:Ok	92
token:Err	93
token:prompt	94
token:system	95
token:context	96
token:data	97
token:output	98
token:policy	99
token:max_attempts	100
node:Source	101
node:InlineManifest	102
node:ManifestField	103
node:Capability	104
node:ToolRequirement	105
node:ImportDeclaration	106
node:ImportName	107
node:Declaration	108
node:RecordDeclaration	109
node:RecordField	110
node:EnumDeclaration	111
node:EnumVariant	112
node:FunctionDeclaration	113
node:GenericParameters	114
node:GenericParameter	115
node:Parameter	116
node:EffectClause	117
node:Body	118
node:Statement	119
node:WhileStatement	120
node:LoopStatement	121
node:ForStatement	122
node:LoopBinding	123
node:LoopBindingItem	124
node:Type	125
node:NamedType	126
node:GenericType	127
node:TupleType	128
node:RecordType	129
node:FunctionType	130
node:Expression	131
node:Disjunction	132
node:Conjunction	133
node:Equality	134
node:Comparison	135
node:Addition	136
node:Multiplication	137
node:Unary	138
node:Postfix	139
node:TypeArgument	140
node:Primary	141
node:Literal	142
node:TemplateLiteral	143
node:TemplateSegment	144
node:TemplateTextOrEscape	145
node:TemplateInterpolation	146
node:QualifiedEnum	147
node:EnumRecordConstructor	148
node:RecordConstructor	149
node:AnonymousRecord	150
node:RecordValueField	151
node:ListLiteral	152
node:MapLiteral	153
node:TupleOrGroup	154
node:MatchExpression	155
node:ConditionalExpression	156
node:MatchArm	157
node:Pattern	158
node:RecordPattern	159
node:EnumPattern	160
node:PatternField	161
node:Closure	162
node:PromptExpression	163
node:PromptField	164
node:AwaitBlock	165
trivia:WHITESPACE	166
trivia:NEWLINE	167
trivia:LINE_COMMENT	168
trivia:BLOCK_COMMENT	169
special:TOMBSTONE	170
token:@	171
special:ERROR_TOKEN	172
special:MISSING	173
token:returns	174
token:type	175
node:TypeAliasDeclaration	176
token:??	177
node:Coalescing	178
token:newtype	179
node:NewtypeDeclaration	180
token:const	181
node:ConstDeclaration	182
token:where	183
token:test	184
node:TestDeclaration	185
token:multiline-string-delimiter	186
node:CallArgument	187
node:ShortClosure	188
token:?.	189
token:|>	191
node:Pipeline	192
node:Composition	193
node:RecordUpdateBase	194
node:ListItem	195
node:MapItem	196
token:|	190
token:..=	197
token:Range	198
token:Sequence	199
node:LocalFunction	200
node:Range	201
node:Slice	202
node:PatternOr	203
node:PatternPrimary	204
node:PatternRange	205
